name,review_count,rating,coordinates,location,price,Area
Patterson Perk,77,3.5,"{'latitude': 39.28591, 'longitude': -76.58128}","{'address1': '2501 Eastern Ave', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21224', 'country': 'US', 'state': 'MD', 'display_address': ['2501 Eastern Ave', 'Baltimore, MD 21224']}",$,Dundalk
Atwater's Café,53,3.5,"{'latitude': 39.3001098632812, 'longitude': -76.5905838012695}","{'address1': '855 N Wolfe St', 'address2': 'Ste A', 'address3': '', 'city': 'Baltimore', 'zip_code': '21205', 'country': 'US', 'state': 'MD', 'display_address': ['855 N Wolfe St', 'Ste A', 'Baltimore, MD 21205']}",$$,Dundalk
7-Eleven,1,5.0,"{'latitude': 39.2781612, 'longitude': -76.4869198}","{'address1': '3003 N Point Rd', 'address2': None, 'address3': None, 'city': 'Baltimore', 'zip_code': '21222', 'country': 'US', 'state': 'MD', 'display_address': ['3003 N Point Rd', 'Baltimore, MD 21222']}",$,Dundalk
Sunnyside Cafe,30,4.0,"{'latitude': 39.2987022590978, 'longitude': -76.5873888507485}","{'address1': '2110 E Monument St', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21205', 'country': 'US', 'state': 'MD', 'display_address': ['2110 E Monument St', 'Baltimore, MD 21205']}",$,Dundalk
Starbucks,1,3.0,"{'latitude': 39.33473, 'longitude': -76.44873}","{'address1': '1330 Martin Blvd', 'address2': '', 'address3': 'Target', 'city': 'Middle River', 'zip_code': '21220', 'country': 'US', 'state': 'MD', 'display_address': ['1330 Martin Blvd', 'Target', 'Middle River, MD 21220']}",$$,Dundalk
McDonald's,3,3.5,"{'latitude': 39.271945, 'longitude': -76.471023}","{'address1': '3954 N Point Blvd', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21222', 'country': 'US', 'state': 'MD', 'display_address': ['3954 N Point Blvd', 'Baltimore, MD 21222']}",$,Dundalk
McDonald's,11,2.5,"{'latitude': 39.2624840896948, 'longitude': -76.5267161233419}","{'address1': '2222 Dundalk Ave', 'address2': '', 'address3': '', 'city': 'Dundalk', 'zip_code': '21222', 'country': 'US', 'state': 'MD', 'display_address': ['2222 Dundalk Ave', 'Dundalk, MD 21222']}",$,Dundalk
CUPs Coffeehouse,21,4.0,"{'latitude': 39.32132, 'longitude': -76.57443}","{'address1': '3216 Belair Rd', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21213', 'country': 'US', 'state': 'MD', 'display_address': ['3216 Belair Rd', 'Baltimore, MD 21213']}",$,Dundalk
Jabali,26,4.5,"{'latitude': 39.2825698852539, 'longitude': -76.5948867797852}","{'address1': '737 S Bond St', 'address2': None, 'address3': '', 'city': 'Baltimore', 'zip_code': '21231', 'country': 'US', 'state': 'MD', 'display_address': ['737 S Bond St', 'Baltimore, MD 21231']}",$,Dundalk
Corner Juice Bar,71,4.5,"{'latitude': 39.285284, 'longitude': -76.582617}","{'address1': '2400 Fleet St', 'address2': '', 'address3': '', 'city': 'Canton', 'zip_code': '21224', 'country': 'US', 'state': 'MD', 'display_address': ['2400 Fleet St', 'Canton, MD 21224']}",$$,Dundalk
Scoozzi Restaurant,19,3.5,"{'latitude': 39.27966, 'longitude': -76.50206}","{'address1': '7625 German Hill Rd', 'address2': None, 'address3': None, 'city': 'Dundalk', 'zip_code': '21222', 'country': 'US', 'state': 'MD', 'display_address': ['7625 German Hill Rd', 'Dundalk, MD 21222']}",$,Dundalk
Red Canoe,131,4.5,"{'latitude': 39.33932, 'longitude': -76.57257}","{'address1': '4337 Harford Rd', 'address2': None, 'address3': '', 'city': 'Baltimore', 'zip_code': '21214', 'country': 'US', 'state': 'MD', 'display_address': ['4337 Harford Rd', 'Baltimore, MD 21214']}",$,Dundalk
Teavolve,799,4.0,"{'latitude': 39.2831709, 'longitude': -76.5978269}","{'address1': '1401 Aliceanna St', 'address2': '', 'address3': '', 'city': 'Baltimore', 'zip_code': '21231', 'country': 'US', 'state': 'MD', 'display_address': ['1401 Aliceanna St', 'Baltimore, MD 21231']}",$$,Dundalk
7-Eleven,2,3.0,"{'latitude': 39.2729977500429, 'longitude': -76.5306597948074}","{'address1': '6700 Brentwood Ave', 'address2': None, 'address3': None, 'city': 'Dundalk', 'zip_code': '21222', 'country': 'US', 'state': 'MD', 'display_address': ['6700 Brentwood Ave', 'Dundalk, MD 21222']}",$,Dundalk
7-Eleven,1,5.0,"{'latitude': 39.2949148926296, 'longitude': -76.5248742699623}","{'address1': '7201 E Baltimore St', 'address2': None, 'address3': None, 'city': 'Highlandtown', 'zip_code': '21224', 'country': 'US', 'state': 'MD', 'display_address': ['7201 E Baltimore St', 'Highlandtown, MD 21224']}",$,Dundalk
Denny's,32,3.0,"{'latitude': 39.2756327, 'longitude': -76.5041515231132}","{'address1': '1412 Merrit Blvd', 'address2': '', 'address3': '', 'city': 'Dundalk', 'zip_code': '21222', 'country': 'US', 'state': 'MD', 'display_address': ['1412 Merrit Blvd', 'Dundalk, MD 21222']}",$$,Dundalk
Cloudy Donut ,66,4.5,"{'latitude': 39.33876, 'longitude': -76.57306}","{'address1': '4311 Harford Rd', 'address2': '', 'address3': None, 'city': 'Baltimore', 'zip_code': '21214', 'country': 'US', 'state': 'MD', 'display_address': ['4311 Harford Rd', 'Baltimore, MD 21214']}",$$$,Dundalk
